session_id,level_id,attempt_number_in_session,level_outcome,level_duration_ms,level_duration_s,total_kill_attempts,correct_kills,wrong_kills,avg_speed,mean_reaction_latency_ms,mean_reaction_latency_s,timestamp,ASR,RL_s,RL_s_clamped,DAR
69b7d961c0174e9fb0c9e473a0fe4b94,LvL2,2,success,42874,42.874,10,10,0,6.873624,2591.206,2.591206,2025-11-13 18:34:05,1.3747248,2.591206,2.591206,1.0
69b7d961c0174e9fb0c9e473a0fe4b94,LvL3,3,fail,24417,24.417,7,4,3,5.336188,2479.175,2.479175,2025-11-13 18:34:36,1.0672376,2.479175,2.479175,0.5714285714285714
69b7d961c0174e9fb0c9e473a0fe4b94,LvL3,4,success,49221,49.221,10,10,0,8.243743,2671.176,2.671176,2025-11-13 18:35:31,1.6487486,2.671176,2.671176,1.0
f30c8801ea6148ac9b5e5be2064645f7,LvL1,1,success,30571,30.571,10,10,0,7.808134,6794.048,6.794048,2025-11-13 18:39:35,1.5616268,6.794048,6.794048,1.0
f30c8801ea6148ac9b5e5be2064645f7,LvL2,2,success,38216,38.216,10,10,0,3.062438,5571.351,5.571351,2025-11-13 18:40:20,0.6124876,5.571351,5.571351,1.0
f30c8801ea6148ac9b5e5be2064645f7,LvL3,3,success,37307,37.307,10,10,0,6.081899,1406.172,1.406172,2025-11-13 18:41:04,1.2163798,1.406172,1.406172,1.0
f30c8801ea6148ac9b5e5be2064645f7,LvL4,4,success,58947,58.947,11,10,1,5.17345,19306.69,19.30669,2025-11-13 18:42:08,1.0346899999999999,19.30669,19.30669,0.9090909090909091
9be8ce5e62114ecd820c762e648e2e6c,LvL1,1,success,24241,24.241,10,10,0,6.527347,1301.78,1.30178,2025-11-13 18:50:32,1.3054694,1.30178,1.30178,1.0
9be8ce5e62114ecd820c762e648e2e6c,LvL2,2,success,30160,30.16,10,10,0,3.71534,1458.593,1.458593,2025-11-13 18:51:12,0.743068,1.458593,1.458593,1.0
9be8ce5e62114ecd820c762e648e2e6c,LvL3,3,fail,59999,59.999,9,9,0,8.885052,2229.082,2.229082,2025-11-13 18:52:19,1.7770104,2.229082,2.229082,1.0
9be8ce5e62114ecd820c762e648e2e6c,LvL3,4,fail,59994,59.994,11,9,2,6.758538,5042.706,5.042706,2025-11-13 18:53:25,1.3517076,5.042706,5.042706,0.8181818181818182
9be8ce5e62114ecd820c762e648e2e6c,LvL3,5,success,36997,36.997,10,10,0,6.188132,2825.144,2.825144,2025-11-13 18:54:08,1.2376264000000001,2.825144,2.825144,1.0
9be8ce5e62114ecd820c762e648e2e6c,LvL4,6,fail,60000,60.0,10,8,2,7.11859,7023.17,7.02317,2025-11-13 18:55:12,1.423718,7.02317,7.02317,0.8
9be8ce5e62114ecd820c762e648e2e6c,LvL4,7,success,25730,25.73,10,10,0,4.224577,3817.858,3.817858,2025-11-13 18:55:43,0.8449154,3.817858,3.817858,1.0
e433642fbdab4ca1b9e4791102ace313,LvL1,1,success,53164,53.164,10,10,0,4.340422,2451.405,2.4514050000000003,2025-11-13 19:09:06,0.8680844000000001,2.4514050000000003,2.4514050000000003,1.0
e433642fbdab4ca1b9e4791102ace313,LvL2,2,success,52832,52.832,10,10,0,2.377082,8910.163,8.910163,2025-11-13 19:10:16,0.4754164,8.910163,8.910163,1.0
e433642fbdab4ca1b9e4791102ace313,LvL3,3,fail,60006,60.006,9,8,1,2.27966,12080.5,12.0805,2025-11-13 19:11:30,0.45593199999999995,12.0805,12.0805,0.8888888888888888
e433642fbdab4ca1b9e4791102ace313,LvL3,4,success,29030,29.03,10,10,0,1.847697,3305.712,3.305712,2025-11-13 19:12:22,0.36953939999999996,3.305712,3.305712,1.0
eeed3c9af61746edbb591400268e4762,LvL1,1,success,42971,42.971,10,10,0,2.326172,22672.47,22.67247,2025-11-13 19:13:46,0.46523440000000005,22.67247,22.67247,1.0
58131b4bf8c34361ae11eff15270584b,LvL1,1,success,38429,38.429,10,10,0,2.91767,2405.124,2.405124,2025-11-13 19:19:31,0.583534,2.405124,2.405124,1.0
ea9b2b2786264a41a995945b5553a850,LvL1,1,success,56755,56.755,10,10,0,4.077119,22035.64,22.03564,2025-11-13 19:23:27,0.8154237999999999,22.03564,22.03564,1.0
12febe63bcec406faf33b2d3b79c6b70,LvL1,1,success,27537,27.537,10,10,0,4.126454,1153.663,1.153663,2025-11-13 19:27:31,0.8252908,1.153663,1.153663,1.0
990434ff91a748e09ed2b54cc4026fdb,LvL1,1,success,40471,40.471,10,10,0,4.29509,2035.766,2.035766,2025-11-13 19:29:02,0.8590180000000001,2.035766,2.035766,1.0
990434ff91a748e09ed2b54cc4026fdb,LvL2,2,fail,59996,59.996,9,9,0,4.100798,3750.117,3.7501170000000004,2025-11-13 19:30:19,0.8201596,3.7501170000000004,3.7501170000000004,1.0
990434ff91a748e09ed2b54cc4026fdb,LvL2,3,success,41170,41.17,10,10,0,3.724137,6139.729,6.139729,2025-11-13 19:31:12,0.7448273999999999,6.139729,6.139729,1.0
c5c494c6a4a14a0b9a67c05d935ce1de,LvL1,1,success,34808,34.808,10,10,0,2.138978,7369.076,7.369076,2025-11-13 19:33:58,0.42779559999999994,7.369076,7.369076,1.0
c5c494c6a4a14a0b9a67c05d935ce1de,LvL2,2,success,51823,51.823,10,10,0,4.03362,9007.965,9.007965,2025-11-13 19:34:57,0.806724,9.007965,9.007965,1.0
c5c494c6a4a14a0b9a67c05d935ce1de,LvL3,3,success,26822,26.822,11,10,1,3.765901,1187.039,1.187039,2025-11-13 19:35:37,0.7531802,1.187039,1.187039,0.9090909090909091
